"chemin_original","type","classement_audit","statut_git_initial","action_realisee","motif","protection","sha256_original","chemin_archive","sha256_archive","references_entrantes_avant","liens_sortants_avant","informations_a_preserver","revision_source"
"AGENTS.md","document","À conserver","suivi","laisse_en_place","Consignes actives des agents","Consignes actives des agents","4ad518975bd0b65239d7bb4a272149068fff69744385978982e87b4d4aa91e9d","","","ROOMS-REFERENCE.md","[{""url"":""VERSION-VALIDEE.md"",""target"":""VERSION-VALIDEE.md"",""exists"":true}]","protection technique ou juridique; intégrité du fichier","8e07a1071f13d72f07aa0aacfdf3a6534caa0ecb"
"AUTH-VINYL-GEOGRAPHY.md","document","À conserver","suivi","laisse_en_place","Vérité technique conservée; aucune réécriture dans la phase 1","","3200d201a0be2d6521d9fea6ec24fd735ad7fe97dda2b4afe0164b4329557a7d","","","","[]","architecture; contrats audio; limites du prototype; licences","8e07a1071f13d72f07aa0aacfdf3a6534caa0ecb"
"CAGE-BATTLE-FLOW.md","document","À conserver","suivi","laisse_en_place","Vérité technique conservée; aucune réécriture dans la phase 1","","262896a92245e4b0e01b1ac5b6f4bd09032064f2876409f9bd2c21c0c08175a7","","","ROOMS-REFERENCE.md","[]","règles métier; audio/live; permissions; migrations","8e07a1071f13d72f07aa0aacfdf3a6534caa0ecb"
"CARD-COHERENCE-AUDIT-2026-09-13.md","document","À archiver","suivi","deplace_chantier","Document historique autorisé, aucune référence ni lien relatif détecté","","9a8ea9e6114d485b36be2551bdce3724f675888cd5d0626d7b19bc8c13177cfc","docs/archive/2026-09-13/chantier/CARD-COHERENCE-AUDIT-2026-09-13.md","9a8ea9e6114d485b36be2551bdce3724f675888cd5d0626d7b19bc8c13177cfc","","[]","historique et décisions; périmètre de la version","8e07a1071f13d72f07aa0aacfdf3a6534caa0ecb"
"GEMINI.md","document","À remplacer","suivi","copie_reference","Sauvegarde avant remplacement; original actif inchangé","","3f7a2d6ae60930dceb12969e3f7a8f572858f7b074a3e2367e8a5ee75438d73a","docs/archive/2026-09-13/references-remplacees/GEMINI.md","3f7a2d6ae60930dceb12969e3f7a8f572858f7b074a3e2367e8a5ee75438d73a","docs/opendaw-voice-correction-audit.md","[]","historique et décisions; périmètre de la version","8e07a1071f13d72f07aa0aacfdf3a6534caa0ecb"
"GLOBE-VINYLE-INTEGRATION.md","document","À conserver","suivi","laisse_en_place","Vérité technique conservée; aucune réécriture dans la phase 1","","8c8e5a2742edc2352b1482422e6c6a85caa669114a2b8549749ea1859ab4a3ca","","","","[{""url"":""VERSION-VALIDEE.md"",""target"":""VERSION-VALIDEE.md"",""exists"":true}]","architecture; configuration; provenance géographique","8e07a1071f13d72f07aa0aacfdf3a6534caa0ecb"
"HOST-CONSOLE-JURY.md","document","À archiver","suivi","deplace_chantier","Document historique autorisé, aucune référence ni lien relatif détecté","","16d17b6610310480338b51ade4db22c47a9f1f1f96308d804ce033c22a1533c9","docs/archive/2026-09-13/chantier/HOST-CONSOLE-JURY.md","16d17b6610310480338b51ade4db22c47a9f1f1f96308d804ce033c22a1533c9","","[]","règles métier; audio/live; permissions; migrations","8e07a1071f13d72f07aa0aacfdf3a6534caa0ecb"
"LOGE-VIEWER.md","document","À conserver","suivi","laisse_en_place","Vérité technique conservée; aucune réécriture dans la phase 1","","a4930e65ad6fbe24ab039a77c6bd8120b9b06b5f91f0c6adeeedfc6e8a2454a6","","","ROOMS-REFERENCE.md","[]","règles métier; audio/live; permissions; migrations","8e07a1071f13d72f07aa0aacfdf3a6534caa0ecb"
"MASTER PROMPT — REDESIGN UXUI MESSA.txt","document","À archiver","non_suivi","deplace_chantier","Document historique autorisé, aucune référence ni lien relatif détecté","","46921de953a738ce5239c52d1834bb347bac06fbec11358b36d686414fb7d955","docs/archive/2026-09-13/chantier/MASTER PROMPT — REDESIGN UXUI MESSA.txt","46921de953a738ce5239c52d1834bb347bac06fbec11358b36d686414fb7d955","","[]","historique et décisions; périmètre de la version","8e07a1071f13d72f07aa0aacfdf3a6534caa0ecb"
"MESSAGING-PREMIUM-CARDS.md","document","À archiver","suivi","copie_chantier","Références entrantes: copie historique, original maintenu pour ne pas casser les lecteurs","","bc49621fc306e0c2998ff8d398a2a4c653f9fcb30158f64c45b5a52896a4f0ae","docs/archive/2026-09-13/chantier/MESSAGING-PREMIUM-CARDS.md","bc49621fc306e0c2998ff8d398a2a4c653f9fcb30158f64c45b5a52896a4f0ae","ROOMS-REFERENCE.md","[]","contrats; données publiques/privées; médias; simulation","8e07a1071f13d72f07aa0aacfdf3a6534caa0ecb"
"MESSAGING-WIRING-AUDIT.md","document","À archiver","suivi","copie_chantier","Références entrantes: copie historique, original maintenu pour ne pas casser les lecteurs","","16bbfdd38d40f46626a1a93f3e4681a304103ecf3903508b3366579e1cf4a090","docs/archive/2026-09-13/chantier/MESSAGING-WIRING-AUDIT.md","16bbfdd38d40f46626a1a93f3e4681a304103ecf3903508b3366579e1cf4a090","MESSAGING-PREMIUM-CARDS.md | ROOMS-REFERENCE.md","[]","contrats; données publiques/privées; médias; simulation","8e07a1071f13d72f07aa0aacfdf3a6534caa0ecb"
"PROFILE-SMOKED-GLASS.md","document","À archiver","suivi","deplace_chantier","Document historique autorisé, aucune référence ni lien relatif détecté","","ce9f979bc935fa43fd640ebfcb948b929e6f6dfa280ae776758c759478cf39f4","docs/archive/2026-09-13/chantier/PROFILE-SMOKED-GLASS.md","ce9f979bc935fa43fd640ebfcb948b929e6f6dfa280ae776758c759478cf39f4","","[]","contrats; données publiques/privées; médias; simulation","8e07a1071f13d72f07aa0aacfdf3a6534caa0ecb"
"README.md","document","À remplacer","ignore","copie_reference","Sauvegarde avant remplacement; original actif inchangé","Référencé hors documentation","20885590b84ed06d7a519e72060a04d3785725a985487e04c8bc3679a3997710","docs/archive/2026-09-13/references-remplacees/README.md","20885590b84ed06d7a519e72060a04d3785725a985487e04c8bc3679a3997710","docs/meewav-audio-bridge-autotune-2026.md | src/features/globe/README.md | src/features/globe/guide-alpha/CHECKLIST.md | tests/geospatial/generate-city-iris.test.mjs | tests/rooms/livekit-revocation-scheduler-contract.test.mjs","[]","protection technique ou juridique; intégrité du fichier","8e07a1071f13d72f07aa0aacfdf3a6534caa0ecb"
"ROOMS-DISPLAY-FIX.md","document","À archiver","suivi","copie_chantier","Références entrantes: copie historique, original maintenu pour ne pas casser les lecteurs","","2230dabd9b48fe59dd72ce09ec623d0ff48590020af4cc37923904e15bd7eedc","docs/archive/2026-09-13/chantier/ROOMS-DISPLAY-FIX.md","2230dabd9b48fe59dd72ce09ec623d0ff48590020af4cc37923904e15bd7eedc","ROOMS-REFERENCE.md","[]","règles métier; audio/live; permissions; migrations","8e07a1071f13d72f07aa0aacfdf3a6534caa0ecb"
"ROOMS-REFERENCE.md","document","À archiver","suivi","copie_chantier","Références entrantes: copie historique, original maintenu pour ne pas casser les lecteurs","","a46a9936107730787db841ef29a9430efdfbc6285796b1e2d36a0db6be0260df","docs/archive/2026-09-13/chantier/ROOMS-REFERENCE.md","a46a9936107730787db841ef29a9430efdfbc6285796b1e2d36a0db6be0260df","AGENTS.md","[{""url"":""VERSION-VALIDEE.md"",""target"":""VERSION-VALIDEE.md"",""exists"":true}]","règles métier; audio/live; permissions; migrations","8e07a1071f13d72f07aa0aacfdf3a6534caa0ecb"
"SCENE-WATCH-EXPERIENCE.md","document","À conserver","suivi","laisse_en_place","Vérité technique conservée; aucune réécriture dans la phase 1","","068cea0e5e4cf8a61c4c66eb97dffc247468bf9d68a99761c35e4164bf14c0cc","","","ROOMS-REFERENCE.md","[]","contrats; données publiques/privées; médias; simulation","8e07a1071f13d72f07aa0aacfdf3a6534caa0ecb"
"SCENE-WATCH-MENU.md","document","À archiver","suivi","copie_chantier","Références entrantes: copie historique, original maintenu pour ne pas casser les lecteurs","","510da78ca36f868aa00fa9caed7c56628e9d521cf11274c27b04b24172fa2a04","docs/archive/2026-09-13/chantier/SCENE-WATCH-MENU.md","510da78ca36f868aa00fa9caed7c56628e9d521cf11274c27b04b24172fa2a04","ROOMS-REFERENCE.md","[]","contrats; données publiques/privées; médias; simulation","8e07a1071f13d72f07aa0aacfdf3a6534caa0ecb"
"SWITCH-ROOM.md","document","À conserver","suivi","laisse_en_place","Vérité technique conservée; aucune réécriture dans la phase 1","","ab2b84bb7ebc12d28c0917e15f879b8351a7939d249a207ec23f86bd2e954e1b","","","ROOMS-REFERENCE.md","[]","règles métier; audio/live; permissions; migrations","8e07a1071f13d72f07aa0aacfdf3a6534caa0ecb"
"VERSION-VALIDEE.md","document","À conserver","suivi","laisse_en_place","Vérité technique conservée; aucune réécriture dans la phase 1","","1a3f775c2a6ef2c4298bfd180ad1957266daef5b0787306be5bd0e80f2af2496","","","AGENTS.md | GLOBE-VINYLE-INTEGRATION.md | ROOMS-REFERENCE.md","[]","historique et décisions; périmètre de la version","8e07a1071f13d72f07aa0aacfdf3a6534caa0ecb"
"VIEWER-MIXER.md","document","À conserver","suivi","laisse_en_place","Vérité technique conservée; aucune réécriture dans la phase 1","","06d0bca4b71a4c825a0bae40d995601cce998e76401f665fc150e0568aa25be9","","","ROOMS-REFERENCE.md","[]","règles métier; audio/live; permissions; migrations","8e07a1071f13d72f07aa0aacfdf3a6534caa0ecb"
"agents/master.md","document","À archiver","suivi","copie_chantier","Références entrantes: copie historique, original maintenu pour ne pas casser les lecteurs","","65195303d5ec20e96cf0062b44e1c6d5b6059fafc98ed29268790328d869174f","docs/archive/2026-09-13/chantier/agents/master.md","65195303d5ec20e96cf0062b44e1c6d5b6059fafc98ed29268790328d869174f","GEMINI.md | README.md | docs/opendaw-voice-correction-audit.md","[]","historique et décisions; périmètre de la version","8e07a1071f13d72f07aa0aacfdf3a6534caa0ecb"
"apps/meewav-audio-engine/docs/architecture-decisions.md","document","À conserver","suivi","laisse_en_place","Vérité technique conservée; aucune réécriture dans la phase 1","","bdab550cb3827e5ad576a482fa2ad607ae0e56d8de099d9a03d983062510cac7","","","","[]","architecture; contrats audio; limites du prototype; licences","8e07a1071f13d72f07aa0aacfdf3a6534caa0ecb"
"apps/meewav-audio-engine/docs/framework-decision.md","document","À conserver","suivi","laisse_en_place","Vérité technique conservée; aucune réécriture dans la phase 1","","543d792f228e0a0b0487e60904145260ac17beb1b099a10fb13d46a8edfc43ea","","","docs/ios-audio-engine-audit.md","[]","architecture; contrats audio; limites du prototype; licences","8e07a1071f13d72f07aa0aacfdf3a6534caa0ecb"
"apps/meewav-audio-engine/docs/web-engine-contract.md","document","À conserver","suivi","laisse_en_place","Vérité technique conservée; aucune réécriture dans la phase 1","","82d5fc652280d72f4fb23abb6c73f63d08eda1f8e270c33aaadfbe961aac756b","","","","[]","architecture; contrats audio; limites du prototype; licences","8e07a1071f13d72f07aa0aacfdf3a6534caa0ecb"
"apps/meewav-audio-engine/docs/windows-live-poc.md","document","À archiver","suivi","copie_chantier","Références entrantes: copie historique, original maintenu pour ne pas casser les lecteurs","","5ee38b0313ccac235c9ee23f9a718f9dc3bddc32680865a8cbd1889c4dde1488","docs/archive/2026-09-13/chantier/apps/meewav-audio-engine/docs/windows-live-poc.md","5ee38b0313ccac235c9ee23f9a718f9dc3bddc32680865a8cbd1889c4dde1488","apps/meewav-audio-engine/docs/framework-decision.md | docs/meewav-audio-bridge-autotune-2026.md","[]","architecture; contrats audio; limites du prototype; licences","8e07a1071f13d72f07aa0aacfdf3a6534caa0ecb"
"docs/CAGE-VIEWER-AUDIT.md","document","À archiver","suivi","deplace_chantier","Document historique autorisé, aucune référence ni lien relatif détecté","","e819e3952436e2da09cdbe1446029400e81edb1353ea7b8bb25c8f69688cd5cf","docs/archive/2026-09-13/chantier/docs/CAGE-VIEWER-AUDIT.md","e819e3952436e2da09cdbe1446029400e81edb1353ea7b8bb25c8f69688cd5cf","","[]","règles métier; audio/live; permissions; migrations","8e07a1071f13d72f07aa0aacfdf3a6534caa0ecb"
"docs/GLOBE_WEB_MVT_CHECKPOINT.md","document","À archiver","suivi","deplace_chantier","Document historique autorisé, aucune référence ni lien relatif détecté","","b7e3951bbe7fdb745daa05ab2e9a0550551e2675829df6cf06c3a372e8601d45","docs/archive/2026-09-13/chantier/docs/GLOBE_WEB_MVT_CHECKPOINT.md","b7e3951bbe7fdb745daa05ab2e9a0550551e2675829df6cf06c3a372e8601d45","","[]","architecture; configuration; provenance géographique","8e07a1071f13d72f07aa0aacfdf3a6534caa0ecb"
"docs/MAP_PERFORMANCE_AUDIT.md","document","À archiver","suivi","copie_chantier","Références entrantes: copie historique, original maintenu pour ne pas casser les lecteurs","","561a7df1d561d16b01c53fe74a116741c4a725fbce22dad1632b850777aa5c75","docs/archive/2026-09-13/chantier/docs/MAP_PERFORMANCE_AUDIT.md","561a7df1d561d16b01c53fe74a116741c4a725fbce22dad1632b850777aa5c75","docs/geospatial/current-city-pipeline-audit.md | docs/geospatial/national-geo-pipeline-migration-plan.md","[]","historique et décisions; périmètre de la version","8e07a1071f13d72f07aa0aacfdf3a6534caa0ecb"
"docs/MON_GLOBE_CANONICAL.md","document","À remplacer","suivi","copie_reference","Sauvegarde avant remplacement; original actif inchangé","","56b686de048680e1ee2b146f9673b7ebf5a29059929dca0eafbf813354e6f2e4","docs/archive/2026-09-13/references-remplacees/docs/MON_GLOBE_CANONICAL.md","56b686de048680e1ee2b146f9673b7ebf5a29059929dca0eafbf813354e6f2e4","GEMINI.md | docs/geospatial/current-city-pipeline-audit.md","[]","architecture; configuration; provenance géographique","8e07a1071f13d72f07aa0aacfdf3a6534caa0ecb"
"docs/PLATFORM_STATUS.md","document","À remplacer","suivi","copie_reference","Sauvegarde avant remplacement; original actif inchangé","","b449729db6a6827d2e2b1974ec1932ddbca20575800a0e72c70a108cf6f67902","docs/archive/2026-09-13/references-remplacees/docs/PLATFORM_STATUS.md","b449729db6a6827d2e2b1974ec1932ddbca20575800a0e72c70a108cf6f67902","","[]","historique et décisions; périmètre de la version","8e07a1071f13d72f07aa0aacfdf3a6534caa0ecb"
"docs/VINYL-MATERIAL-AUDIT.md","document","À archiver","suivi","deplace_chantier","Document historique autorisé, aucune référence ni lien relatif détecté","","861cc4f18441944316b1142d06064c1ea102f11e3bfd7e2e98fc64d82b77438c","docs/archive/2026-09-13/chantier/docs/VINYL-MATERIAL-AUDIT.md","861cc4f18441944316b1142d06064c1ea102f11e3bfd7e2e98fc64d82b77438c","","[]","architecture; contrats audio; limites du prototype; licences","8e07a1071f13d72f07aa0aacfdf3a6534caa0ecb"
"docs/VINYL-REFERENCE-COMPARISON.md","document","À archiver","suivi","deplace_chantier","Document historique autorisé, aucune référence ni lien relatif détecté","","5e65a6f4e13558cc3672cd71726ac60ac3b4d8ff05237e72fcde5b8e1f884bc3","docs/archive/2026-09-13/chantier/docs/VINYL-REFERENCE-COMPARISON.md","5e65a6f4e13558cc3672cd71726ac60ac3b4d8ff05237e72fcde5b8e1f884bc3","","[]","architecture; contrats audio; limites du prototype; licences","8e07a1071f13d72f07aa0aacfdf3a6534caa0ecb"
"docs/VINYL-REFINEMENT.md","document","À archiver","suivi","deplace_chantier","Document historique autorisé, aucune référence ni lien relatif détecté","","edef8d9cf815aa850b9da17e22563d8b4b0953ace25583ec9253a5e95e1556e4","docs/archive/2026-09-13/chantier/docs/VINYL-REFINEMENT.md","edef8d9cf815aa850b9da17e22563d8b4b0953ace25583ec9253a5e95e1556e4","","[]","architecture; contrats audio; limites du prototype; licences","8e07a1071f13d72f07aa0aacfdf3a6534caa0ecb"
